date,sector,sentiment,fear_greed,sentiment_lagged
2020-01-02,Comm,0.11544833333333333,55.77,
2020-01-03,Comm,0.016425,50.82,0.11544833333333333
2020-01-06,Comm,0.09601111111111112,54.8,0.016425
2020-01-07,Comm,0.15553333333333333,57.78,0.09601111111111112
2020-01-08,Comm,0.05927,52.96,0.15553333333333333
2020-01-09,Comm,-0.027080000000000003,48.65,0.05927
2020-01-10,Comm,-0.12117916666666667,43.94,-0.027080000000000003
2020-01-13,Comm,0.027043750000000002,51.35,-0.12117916666666667
2020-01-14,Comm,0.05148333333333334,52.57,0.027043750000000002
2020-01-15,Comm,0.018138888888888885,50.91,0.05148333333333334
2020-01-16,Comm,0.07806458333333333,53.9,0.018138888888888885
2020-01-17,Comm,0.0322,51.61,0.07806458333333333
2020-01-21,Comm,0.065725,53.29,0.0322
2020-01-22,Comm,-0.1181,44.1,0.065725
2020-01-23,Comm,0.17371285714285714,58.69,-0.1181
2020-01-24,Comm,0.010221363636363638,50.51,0.17371285714285714
2020-01-27,Comm,-0.013028030303030305,49.35,0.010221363636363638
2020-01-28,Comm,0.03169374999999999,51.58,-0.013028030303030305
2020-01-29,Comm,0.14114375,57.06,0.03169374999999999
2020-01-30,Comm,-0.04478333333333333,47.76,0.14114375
2020-01-31,Comm,-0.2285340909090909,38.57,-0.04478333333333333
2020-02-03,Comm,0.1078225,55.39,-0.2285340909090909
2020-02-04,Comm,0.209289,60.46,0.1078225
2020-02-05,Comm,0.029875000000000002,51.49,0.209289
2020-02-06,Comm,0.02554595238095239,51.28,0.029875000000000002
2020-02-07,Comm,0.06522375000000001,53.26,0.02554595238095239
2020-02-10,Comm,0.073825,53.69,0.06522375000000001
2020-02-11,Comm,-0.04024323529411764,47.99,0.073825
2020-02-12,Comm,0.06683833333333333,53.34,-0.04024323529411764
2020-02-13,Comm,0.06233452380952381,53.12,0.06683833333333333
2020-02-14,Comm,0.5859,79.3,0.06233452380952381
2020-02-18,Comm,0.02304457142857143,51.15,0.5859
2020-02-19,Comm,0.12560416666666668,56.28,0.02304457142857143
2020-02-20,Comm,0.09202361111111113,54.6,0.12560416666666668
2020-02-21,Comm,0.09415,54.71,0.09202361111111113
2020-02-24,Comm,0.055855555555555554,52.79,0.09415
2020-02-25,Comm,-0.029966666666666666,48.5,0.055855555555555554
2020-02-26,Comm,0.029808333333333336,51.49,-0.029966666666666666
2020-02-27,Comm,-0.013849999999999987,49.31,0.029808333333333336
2020-02-28,Comm,-0.14993357142857142,42.5,-0.013849999999999987
2020-03-02,Comm,0.1177375,55.89,-0.14993357142857142
2020-03-03,Comm,0.0600275,53.0,0.1177375
2020-03-04,Comm,0.026870833333333333,51.34,0.0600275
2020-03-05,Comm,0.08521666666666666,54.26,0.026870833333333333
2020-03-06,Comm,-0.030774999999999997,48.46,0.08521666666666666
2020-03-09,Comm,-0.010830952380952379,49.46,-0.030774999999999997
2020-03-10,Comm,-0.040745333333333335,47.96,-0.010830952380952379
2020-03-11,Comm,0.0414,52.07,-0.040745333333333335
2020-03-12,Comm,-0.05520333333333333,47.24,0.0414
2020-03-13,Comm,0.08346166666666666,54.17,-0.05520333333333333
2020-03-16,Comm,0.016510277777777776,50.83,0.08346166666666666
2020-03-17,Comm,0.026663333333333334,51.33,0.016510277777777776
2020-03-18,Comm,-0.0035575000000000016,49.82,0.026663333333333334
2020-03-19,Comm,0.03406000000000001,51.7,-0.0035575000000000016
2020-03-20,Comm,-0.08100833333333333,45.95,0.03406000000000001
2020-03-23,Comm,0.09480590909090908,54.74,-0.08100833333333333
2020-03-24,Comm,0.10560404761904763,55.28,0.09480590909090908
2020-03-25,Comm,0.12598066666666669,56.3,0.10560404761904763
2020-03-26,Comm,0.10835166666666667,55.42,0.12598066666666669
2020-03-27,Comm,0.10031777777777777,55.02,0.10835166666666667
2020-03-30,Comm,0.065705,53.29,0.10031777777777777
2020-03-31,Comm,0.16271666666666665,58.14,0.065705
2020-04-01,Comm,0.10243750000000001,55.12,0.16271666666666665
2020-04-02,Comm,0.007093333333333336,50.35,0.10243750000000001
2020-04-03,Comm,0.16031285714285715,58.02,0.007093333333333336
2020-04-06,Comm,0.10018333333333333,55.01,0.16031285714285715
2020-04-07,Comm,0.056828409090909096,52.84,0.10018333333333333
2020-04-08,Comm,0.03324916666666666,51.66,0.056828409090909096
2020-04-09,Comm,-0.01694,49.15,0.03324916666666666
2020-04-13,Comm,-0.11158333333333334,44.42,-0.01694
2020-04-14,Comm,0.1356607142857143,56.78,-0.11158333333333334
2020-04-15,Comm,0.002928750000000001,50.15,0.1356607142857143
2020-04-16,Comm,0.22121375,61.06,0.002928750000000001
2020-04-17,Comm,0.14001666666666668,57.0,0.22121375
2020-04-20,Comm,0.09098750000000001,54.55,0.14001666666666668
2020-04-21,Comm,0.04266833333333334,52.13,0.09098750000000001
2020-04-22,Comm,0.0800002380952381,54.0,0.04266833333333334
2020-04-23,Comm,0.001167361111111112,50.06,0.0800002380952381
2020-04-24,Comm,0.027957575757575757,51.4,0.001167361111111112
2020-04-27,Comm,0.11120727272727274,55.56,0.027957575757575757
2020-04-28,Comm,0.034295707070707074,51.71,0.11120727272727274
2020-04-29,Comm,0.11555714285714286,55.78,0.034295707070707074
2020-04-30,Comm,0.04805,52.4,0.11555714285714286
2020-05-01,Comm,-0.04241458333333333,47.88,0.04805
2020-05-04,Comm,0.05846074074074074,52.92,-0.04241458333333333
2020-05-05,Comm,0.19058285714285716,59.53,0.05846074074074074
2020-05-06,Comm,-0.0011770833333333425,49.94,0.19058285714285716
2020-05-07,Comm,0.1305325,56.53,-0.0011770833333333425
2020-05-08,Comm,0.17955000000000002,58.98,0.1305325
2020-05-11,Comm,0.10609952380952381,55.3,0.17955000000000002
2020-05-12,Comm,0.06129833333333333,53.06,0.10609952380952381
2020-05-13,Comm,0.0013333333333333346,50.07,0.06129833333333333
2020-05-14,Comm,0.02447333333333333,51.22,0.0013333333333333346
2020-05-15,Comm,0.03297166666666666,51.65,0.02447333333333333
2020-05-18,Comm,0.018767499999999996,50.94,0.03297166666666666
2020-05-19,Comm,0.109237,55.46,0.018767499999999996
2020-05-20,Comm,0.11520819047619049,55.76,0.109237
2020-05-21,Comm,0.02321333333333333,51.16,0.11520819047619049
2020-05-22,Comm,0.0079125,50.4,0.02321333333333333
2020-05-26,Comm,0.14381,57.19,0.0079125
2020-05-27,Comm,0.15689416666666667,57.84,0.14381
2020-05-28,Comm,0.051808,52.59,0.15689416666666667
2020-05-29,Comm,0.06067416666666667,53.03,0.051808
2020-06-01,Comm,0.052932,52.65,0.06067416666666667
2020-06-02,Comm,0.24737777777777778,62.37,0.052932
2020-06-03,Comm,-0.04811666666666667,47.59,0.24737777777777778
2020-06-04,Comm,0.06102,53.05,-0.04811666666666667
2020-06-05,Comm,0.08533125,54.27,0.06102
2020-06-08,Comm,0.0584725,52.92,0.08533125
2020-06-09,Comm,-0.20013333333333333,39.99,0.0584725
2020-06-10,Comm,-0.11927000000000001,44.04,-0.20013333333333333
2020-06-11,Comm,0.0155,50.78,-0.11927000000000001
2020-06-12,Comm,0.09533020833333333,54.77,0.0155
2020-06-15,Comm,0.0022104166666666657,50.11,0.09533020833333333
2020-06-16,Comm,-7.7777777777778e-05,50.0,0.0022104166666666657
2020-06-17,Comm,0.12914833333333334,56.46,-7.7777777777778e-05
2020-06-18,Comm,0.0746425,53.73,0.12914833333333334
2020-06-19,Comm,-0.01250833333333333,49.37,0.0746425
2020-06-22,Comm,0.0353,51.76,-0.01250833333333333
2020-06-23,Comm,0.09414444444444443,54.71,0.0353
2020-06-24,Comm,-0.0033732323232323197,49.83,0.09414444444444443
2020-06-25,Comm,0.05418,52.71,-0.0033732323232323197
2020-06-26,Comm,0.17455,58.73,0.05418
2020-06-29,Comm,0.07202628205128206,53.6,0.17455
2020-06-30,Comm,0.001542857142857143,50.08,0.07202628205128206
2020-07-01,Comm,0.0977875,54.89,0.001542857142857143
2020-07-02,Comm,0.009891666666666665,50.49,0.0977875
2020-07-06,Comm,0.06571,53.29,0.009891666666666665
2020-07-07,Comm,0.08569166666666668,54.28,0.06571
2020-07-08,Comm,0.04640624999999999,52.32,0.08569166666666668
2020-07-09,Comm,0.0859625,54.3,0.04640624999999999
2020-07-10,Comm,0.014216666666666667,50.71,0.0859625
2020-07-13,Comm,0.0413888888888889,52.07,0.014216666666666667
2020-07-14,Comm,0.04336071428571429,52.17,0.0413888888888889
2020-07-15,Comm,0.1621,58.1,0.04336071428571429
2020-07-16,Comm,0.06002916666666667,53.0,0.1621
2020-07-17,Comm,-0.53915,23.04,0.06002916666666667
2020-07-20,Comm,0.05641666666666667,52.82,-0.53915
2020-07-21,Comm,0.15707333333333334,57.85,0.05641666666666667
2020-07-22,Comm,0.06514166666666667,53.26,0.15707333333333334
2020-07-23,Comm,0.003679166666666671,50.18,0.06514166666666667
2020-07-24,Comm,-0.008712499999999998,49.56,0.003679166666666671
2020-07-27,Comm,0.077675,53.88,-0.008712499999999998
2020-07-28,Comm,0.12196000000000001,56.1,0.077675
2020-07-29,Comm,0.06004999999999999,53.0,0.12196000000000001
2020-07-30,Comm,0.06031500000000001,53.02,0.06004999999999999
2020-07-31,Comm,0.01035,50.52,0.06031500000000001
2020-08-03,Comm,0.045426,52.27,0.01035
2020-08-04,Comm,0.09231974358974358,54.62,0.045426
2020-08-05,Comm,0.14981875,57.49,0.09231974358974358
2020-08-06,Comm,0.15064761904761906,57.53,0.14981875
2020-08-07,Comm,0.01853589743589744,50.93,0.15064761904761906
2020-08-10,Comm,0.18227333333333334,59.11,0.01853589743589744
2020-08-11,Comm,0.12815555555555555,56.41,0.18227333333333334
2020-08-12,Comm,0.0086,50.43,0.12815555555555555
2020-08-13,Comm,0.14936875,57.47,0.0086
2020-08-14,Comm,-0.075525,46.22,0.14936875
2020-08-17,Comm,0.14206333333333332,57.1,-0.075525
2020-08-18,Comm,0.15536333333333335,57.77,0.14206333333333332
2020-08-19,Comm,-0.0077,49.61,0.15536333333333335
2020-08-20,Comm,0.103455,55.17,-0.0077
2020-08-21,Comm,0.14484444444444447,57.24,0.103455
2020-08-24,Comm,-0.18252500000000002,40.87,0.14484444444444447
2020-08-25,Comm,0.11716666666666667,55.86,-0.18252500000000002
2020-08-26,Comm,0.1429725,57.15,0.11716666666666667
2020-08-27,Comm,0.0019249999999999996,50.1,0.1429725
2020-08-28,Comm,0.021779166666666662,51.09,0.0019249999999999996
2020-08-31,Comm,0.05545555555555556,52.77,0.021779166666666662
2020-09-01,Comm,0.06508333333333333,53.25,0.05545555555555556
2020-09-02,Comm,0.17952222222222222,58.98,0.06508333333333333
2020-09-03,Comm,-0.020588095238095235,48.97,0.17952222222222222
2020-09-04,Comm,0.013958333333333333,50.7,-0.020588095238095235
2020-09-08,Comm,0.08745,54.37,0.013958333333333333
2020-09-09,Comm,0.23929999999999998,61.96,0.08745
2020-09-10,Comm,-0.076625,46.17,0.23929999999999998
2020-09-11,Comm,0.02363333333333333,51.18,-0.076625
2020-09-14,Comm,0.19844166666666666,59.92,0.02363333333333333
2020-09-15,Comm,0.02861666666666667,51.43,0.19844166666666666
2020-09-16,Comm,-0.04089444444444445,47.96,0.02861666666666667
2020-09-17,Comm,0.04615555555555556,52.31,-0.04089444444444445
2020-09-18,Comm,-0.0779625,46.1,0.04615555555555556
2020-09-21,Comm,0.12578375,56.29,-0.0779625
2020-09-22,Comm,0.05355000000000001,52.68,0.12578375
2020-09-23,Comm,0.0213,51.07,0.05355000000000001
2020-09-24,Comm,0.10736500000000002,55.37,0.0213
2020-09-25,Comm,0.009325,50.47,0.10736500000000002
2020-09-28,Comm,0.010724374999999998,50.54,0.009325
2020-09-29,Comm,0.06786666666666667,53.39,0.010724374999999998
2020-09-30,Comm,-0.027812499999999997,48.61,0.06786666666666667
2020-10-01,Comm,0.04750277777777778,52.38,-0.027812499999999997
2020-10-02,Comm,0.028975000000000008,51.45,0.04750277777777778
2020-10-05,Comm,0.047808333333333335,52.39,0.028975000000000008
2020-10-06,Comm,0.0430375,52.15,0.047808333333333335
2020-10-07,Comm,-0.07332500000000002,46.33,0.0430375
2020-10-08,Comm,0.002206666666666669,50.11,-0.07332500000000002
2020-10-09,Comm,0.08616696428571428,54.31,0.002206666666666669
2020-10-12,Comm,-0.04395606060606061,47.8,0.08616696428571428
2020-10-13,Comm,-0.06539523809523809,46.73,-0.04395606060606061
2020-10-14,Comm,0.2065846666666667,60.33,-0.06539523809523809
2020-10-15,Comm,0.012233333333333332,50.61,0.2065846666666667
2020-10-16,Comm,0.12573333333333334,56.29,0.012233333333333332
2020-10-19,Comm,0.2282433333333333,61.41,0.12573333333333334
2020-10-20,Comm,0.0051333333333333335,50.26,0.2282433333333333
2020-10-21,Comm,-0.058550000000000005,47.07,0.0051333333333333335
2020-10-22,Comm,0.029408333333333335,51.47,-0.058550000000000005
2020-10-23,Comm,-0.007518749999999999,49.62,0.029408333333333335
